"","1-3-3 Forward","1-3-4 Forward","1-3-3 Backward","1-3-4 Backward","1-3-3 Spiral","1-3-4 Spiral","1-3-3 Random","1-3-4 Random"
"increasing",0.172307692307692,0.250769230769231,0.169230769230769,0.233846153846154,0.156923076923077,0.254615384615385,0.170769230769231,0.236153846153846
"equal",0.138461538461538,0.211538461538462,0.140769230769231,0.202307692307692,0.136153846153846,0.2,0.131538461538462,0.185384615384615
"decreasing",0.0976923076923077,0.188461538461538,0.103846153846154,0.195384615384615,0.112307692307692,0.196923076923077,0.0815384615384615,0.191538461538462
