"","1-3-3 Forward","1-3-4 Forward","1-3-3 Backward","1-3-4 Backward","1-3-3 Spiral","1-3-4 Spiral","1-3-3 Random","1-3-4 Random"
"increasing",0.172307692307692,0.193846153846154,0.183846153846154,0.190769230769231,0.169230769230769,0.203076923076923,0.167692307692308,0.179230769230769
"equal",0.106153846153846,0.150769230769231,0.124615384615385,0.163846153846154,0.110769230769231,0.154615384615385,0.113076923076923,0.143076923076923
"decreasing",0.0884615384615385,0.14,0.0876923076923077,0.136153846153846,0.0976923076923077,0.15,0.0930769230769231,0.136923076923077
