"","1-3-3 Forward","1-3-4 Forward","1-3-3 Backward","1-3-4 Backward","1-3-3 Spiral","1-3-4 Spiral","1-3-3 Random","1-3-4 Random"
"increasing",0.583563177333082,0.63214164560894,0.589910449932583,0.622837264518323,0.604488047936828,0.651537379249736,0.548392880451942,0.611137076191475
"equal",0.721320959712646,0.718200228597022,0.697588654392191,0.728953028516114,0.694888806066478,0.734483074931434,0.758057042833008,0.717607311898176
"decreasing",0.687919755737018,0.711449374157398,0.715736003333074,0.735552398019062,0.691461619761364,0.705075003216032,0.757037505228533,0.741736501775514
