"","1-3-3 Forward","1-3-4 Forward","1-3-3 Backward","1-3-4 Backward","1-3-3 Spiral","1-3-4 Spiral","1-3-3 Random","1-3-4 Random"
"increasing",-0.0423098669528272,-0.0187721831573727,-0.0409530404995275,-0.0289512322945169,-0.0236045415788773,-0.00983551625861834,-0.0322194615815246,-0.0210622114923638
"equal",-0.0266965767955657,-0.0250581049379647,-0.0445104928609428,-0.0175131353758424,-0.0484554407777326,-0.0238889227605056,-0.0518971177876357,-0.00457075523315584
"decreasing",-0.0614569732987295,-0.0484857803949003,-0.0458465674733525,-0.0427426302764655,-0.0465650968515843,-0.0494365879091308,-0.0765056282748027,-0.0533518263823728
