"","1-3-3 Forward","1-3-4 Forward","1-3-3 Backward","1-3-4 Backward","1-3-3 Spiral","1-3-4 Spiral","1-3-3 Random","1-3-4 Random"
"increasing",0.430997442492985,0.360264080968539,0.406537410747179,0.343437133135522,0.406862390024524,0.377245215211126,0.406030554237309,0.377492274225618
"equal",0.450887869247923,0.393836624010001,0.436026877455835,0.399010511895072,0.445895076651534,0.403480863350842,0.45636596750104,0.367196061604362
"decreasing",0.504418964628947,0.462898211560567,0.500620557601695,0.444128225395411,0.510383037128035,0.465227242087347,0.527839103724786,0.459540359651206
