"","1-3-3 Forward","1-3-4 Forward","1-3-3 Backward","1-3-4 Backward","1-3-3 Spiral","1-3-4 Spiral","1-3-3 Random","1-3-4 Random"
"increasing",0.295714285714286,0.43,0.295714285714286,0.402857142857143,0.28,0.44,0.29,0.394285714285714
"equal",0.25,0.385714285714286,0.258571428571429,0.36,0.247142857142857,0.358571428571429,0.241428571428571,0.337142857142857
"decreasing",0.18,0.345714285714286,0.192857142857143,0.361428571428571,0.207142857142857,0.36,0.15,0.355714285714286
