"","1-3-3 Forward","1-3-4 Forward","1-3-3 Backward","1-3-4 Backward","1-3-3 Spiral","1-3-4 Spiral","1-3-3 Random","1-3-4 Random"
"increasing",0.327142857142857,0.264285714285714,0.311428571428571,0.272857142857143,0.294285714285714,0.285714285714286,0.301428571428571,0.22
"equal",0.222857142857143,0.24,0.22,0.2,0.212857142857143,0.214285714285714,0.222857142857143,0.231428571428571
"decreasing",0.168571428571429,0.202857142857143,0.175714285714286,0.198571428571429,0.16,0.212857142857143,0.171428571428571,0.19
