"","1-3-3 Forward","1-3-4 Forward","1-3-3 Backward","1-3-4 Backward","1-3-3 Spiral","1-3-4 Spiral","1-3-3 Random","1-3-4 Random"
"increasing",0.298571428571429,0.351428571428571,0.32,0.337142857142857,0.302857142857143,0.365714285714286,0.295714285714286,0.318571428571429
"equal",0.197142857142857,0.28,0.23,0.302857142857143,0.204285714285714,0.287142857142857,0.207142857142857,0.26
"decreasing",0.164285714285714,0.26,0.162857142857143,0.252857142857143,0.18,0.278571428571429,0.172857142857143,0.254285714285714
