"","1-3-3 Forward","1-3-4 Forward","1-3-3 Backward","1-3-4 Backward","1-3-3 Spiral","1-3-4 Spiral","1-3-3 Random","1-3-4 Random"
"increasing",-0.0242655923915422,-0.0143642845864775,-0.0325887019403713,-0.0212526487453671,-0.0258045294317014,-0.0181897355279234,-0.0205047778315722,-0.0192752685224402
"equal",-0.0220629819550253,-0.0347517506391187,-0.0382659558030697,-0.0316177857256087,-0.0211927819609622,-0.0552343159288192,-0.0249122781729002,-0.0543597699388157
"decreasing",-0.0266160245035754,-0.0517589236635509,-0.0448690686188232,-0.0329716548543751,-0.0309658084934462,-0.0505655499556721,-0.0583234552523443,-0.0306953840006854
