"","1-3-3 Forward","1-3-4 Forward","1-3-3 Backward","1-3-4 Backward","1-3-3 Spiral","1-3-4 Spiral","1-3-3 Random","1-3-4 Random"
"increasing",-0.0653839476731676,-0.0954026947699582,-0.0916795281581551,-0.111303684145326,-0.109508563677991,-0.1069760563165,-0.091714433725055,-0.0895915485758794
"equal",-0.173514939098094,-0.16748546294253,-0.151003554200031,-0.193681190989326,-0.193822350811475,-0.198688248352507,-0.201276806569592,-0.175252912817713
"decreasing",-0.16803531833269,-0.208466844538352,-0.154176679979148,-0.202023011209751,-0.157893028692916,-0.163466673780715,-0.212411364829962,-0.181407403031272
