"","1-3-3 Forward","1-3-4 Forward","1-3-3 Backward","1-3-4 Backward","1-3-3 Spiral","1-3-4 Spiral","1-3-3 Random","1-3-4 Random"
"increasing",0.413612371993749,0.365020625307317,0.412675795648332,0.344733105059509,0.412878641727618,0.363874031988256,0.412478788908491,0.334096037571666
"equal",0.472159600113186,0.415474774407727,0.454276913162071,0.419861432929337,0.428609495506604,0.39898982137944,0.452549354712724,0.365796620601948
"decreasing",0.478611610471826,0.459952131228049,0.508456726319801,0.458964139281526,0.487721230813928,0.461583105110681,0.510968584976621,0.44381000316644
